UTC,Light,°C out,°C in,hPa,RH Air,RH Soil,IAQ
01.01.1970 00:37:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:38:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:38:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:38:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:38:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:38:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:38:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:39:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:39:10,158,"21,6","22,3",980,38,0,0
01.01.1970 00:39:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:39:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:39:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:39:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:40:00,158,"21,6","22,3",980,38,0,0
01.01.1970 00:40:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:40:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:40:30,158,"21,6","22,3",980,38,0,0
01.01.1970 00:40:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:40:50,158,"21,6","22,3",980,38,0,0
01.01.1970 00:41:00,158,"21,6","22,3",980,38,0,0
01.01.1970 00:41:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:41:20,158,"21,6","22,3",980,38,0,0
01.01.1970 00:41:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:41:40,158,"21,6","22,3",980,38,0,0
01.01.1970 00:41:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:42:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:42:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:42:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:42:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:42:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:42:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:43:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:43:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:43:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:43:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:43:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:43:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:44:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:44:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:44:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:44:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:44:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:44:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:45:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:45:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:45:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:45:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:45:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:45:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:46:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:46:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:46:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:46:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:46:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:46:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:47:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:47:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:47:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:47:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:47:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:47:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:48:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:48:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:48:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:48:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:48:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:48:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:49:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:49:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:49:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:49:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:49:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:49:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:50:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:50:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:50:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:50:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:50:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:50:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:51:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:51:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:51:20,158,"21,6","22,2",980,38,0,0
01.01.1970 00:51:30,158,"21,6","22,2",980,38,0,0
01.01.1970 00:51:40,158,"21,6","22,2",980,38,0,0
01.01.1970 00:51:50,158,"21,6","22,2",980,38,0,0
01.01.1970 00:52:00,158,"21,6","22,2",980,38,0,0
01.01.1970 00:52:10,158,"21,6","22,2",980,38,0,0
01.01.1970 00:52:20,158,"21,6","22,2",980,38,0,0
